Trait1	Trait2	TestControl	NetColoc	Parameter Tested	Bin Size	T	T*	Observed Size	Expected Size	log2COLOC Score	COLOC P	LenientOrStrict	SNP-to-Gene
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	bin	160	1	3	121	172.664	-0.5129602685142547	1.521e-05	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	th	10	1	1	274	328.972	-0.2637889029929572	0.0004156	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	th	10	1	1.5	244	305.538	-0.3244706725251047	7.036e-05	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	th	10	1.5	1.5	91	140.043	-0.6219314221874757	3.036e-06	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	th	10	1	2	200	269.009	-0.42765444058176605	5.965e-06	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	th	10	1.5	2	91	139.928	-0.620746228442173	7.794e-06	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	th	10	2	2	36	50.245	-0.4809831308489025	0.04779	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	th	10	1	2.5	163	229.682	-0.4947658337994254	1.031e-06	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	th	10	1.5	2.5	90	138.753	-0.6245220579768618	1.226e-05	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	th	10	2	2.5	36	50.808	-0.49705876862434606	0.02963	Lenient	S2G
EFO_0007117_GCST90092505	EFO_0007117_GCST90092505	Test	Quantitative(Q)	th	10	2.5	2.5	16	19.166	-0.2604773686534166	0.4503	Lenient	S2G
