Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
inguinal hernia	HP_0000023	34375979	Rare	Categorical	Muscular	Initial	Inguinal hernia	1.0	UKB	134309.0	34375979	35	7455,6002,56999,91584,3670,79956,4146,6536,127247,23544,57343,23348,27258,79694,733,283659,493861,57589,3836,400566,1294,7038,28512,8352,83481,3881,254786,374900,79959,1757,51734,10897,10417,131076,26051	-0.14518	1.034	39967.0	11.0	0.00853479	7.58437786111111	49.5	1617.0	36.673	1.026
rheumatoid arthritis	EFO_0000685	34375979	Rare	Categorical	Immunological	Initial	Rheumatoid arthritis	1.0000001	UKB	281104.0	34375979	8	1456,6452,5275,2048,341276,57620,509,26290	0.27255	0.8705	76570.0	12.5	0.015043105	8.93749039601852	44.0	1438.0	34.2515	1.0699999999999998
interstitial lung disease	EFO_0004244	34375979	Rare	Categorical	Respiratory	Initial	Other interstitial pulmonary diseases	0.8495197	UKB	199639.0	34375979	9	7015,5931,788,4957,254827,3170,93035,403313,643812	-0.2895465	1.053	41921.0	17.0	0.00767069	2.54903779537037	22.0	1383.0	48.035	1.026
retinal detachment	EFO_0005773	34375979	Rare	Categorical	Opthamological	Initial	Retinal detachment	1.0	UKB	281104.0	34375979	10	1280,26985,3195,79709,9289,3304,6161,10244,285313,8940	0.293865	0.847	29050.0	10.5	0.018304	15.566646574074069	53.5	1897.5	46.7695	1.0255
frozen shoulder	EFO_1000941	34375979	Rare	Categorical	Skeletal	Initial	Adhesive capsulitis of shoulder	0.52008635	UKB	232291.0	34375979	9	91608,643596,4889,2172,23416,10455,2831,3229,7095	0.20029	0.949	11882.0	9.0	0.00840386	9.048475189814814	23.0	993.0	21.438	1.026
chronic lymphocytic leukemia	EFO_0000095	34662886	Rare	Categorical	Neoplasm	Initial	Type of cancer: chronic lymphocytic leukemia of b-cell type (40006)	0.7923106	UKB	74229.8	34662886	4	4851,4615,23451,7514	0.227692	0.1585	49089.5	56.0	0.34252	32.068074814814814	54.0	2304.5	122.785	1.0785
total lipids in large HDL	EFO_0022189	36809768	Rare	Continuous	Metabolic	Initial	Total Lipids in Large HDL	1.0	UKB	98433.0	36809768	80	1071,345,335,949,51129,348,338,9388,146894,337,90203,9709,3990,5476,140831,9031,6559,5360,116519,8882,3172,55908,22837,3931,19,8567,57678,84811,10005,326625,89910,10062,10948,53,90199,280664,80212,11183,23387,283446,9026,64116,2064,2147,79797,5140,84106,4038,54905,5445,63925,23788,391253,4499,84166,10816,4493,432,55861,140825,5913,196385,57468,4023,158747,284110,10188,8736,170589,11043,28511,152877,57491,440145,83692,221481,84970,651,26149,3207	0.25463	0.955	24661.0	15.0	0.00741442	10.985485373148146	52.0	1339.5	42.118	1.026
total lipids in small VLDL	EFO_0022148	36809768	Rare	Continuous	Metabolic	Initial	Total Lipids in Small VLDL	1.0000002	UKB	98154.0	36809768	46	345,4023,338,11183,116519,8882,84811,348,51085,1071,84226,9031,51129,5049,337,8890,26160,27329,255738,26762,23173,57159,8884,6580,94039,22837,2524,3949,256006,78992,5140,113201,728780,80212,84277,26291,146894,10087,284358,196385,9755,5335,3626,54854,4299,55692	0.0628045	1.0165	28378.0	16.0	0.005698165	13.784492522222221	51.0	1381.5	40.637	1.0190000000000001
acute pancreatitis	EFO_1000652	34375979	Rare	Categorical	Endocrine	Initial	Acute pancreatitis	1.0000001	UKB	250287.0	34375979	23	57644,10085,53353,2998,57335,5538,3682,55128,23265,2992,80173,11061,91120,51347,84190,3920,29999,55435,142686,339403,255022,160762,407	0.41909	1.051	41370.0	11.0	0.00243539	3.736694444444445	49.0	1458.0	46.036	1.037
malaria	EFO_0001068	34375979	Rare	Categorical	Infection	Initial	Malaria	1.0	UKB	281104.0	34375979	8	10347,56950,26974,51474,6296,64785,4051,6668	0.59409	1.1155	44418.0	13.0	0.00308297	9.331077324999999	51.0	1671.5	54.063500000000005	1.024
hepatitis	HP_0012115	34375979	Rare	Categorical	Infection	Initial	Hepatitis	1.0	UKB	281104.0	34375979	3	203859,7472,85474	0.094655	1.034	47701.0	9.0	0.00407772	1.093008083333333	14.0	1083.0	38.025	1.026
Headache	HP_0002315	34375979	Rare	Categorical	Neurological	Initial	Headache	1.0	UKB	235127.0	34375979	15	4352,4881,1419,3739,4082,3720,337963,8672,8019,219858,10917,221935,2925,728597,53615	-0.54753	0.8095	17881.0	13.0	0.030662500000000002	1.206557400925926	12.0	1401.0	38.125	1.026
prostate cancer	MONDO_0008315	34375979	Rare	Categorical	Neoplasm	Initial	Prostate cancer	1.0	UKB	281104.0	34375979	9	126070,56995,8887,3486,55423,90019,605,127943,472	-1.0796	0.868	28627.0	14.0	0.00793926	6.547409425925928	53.0	1185.0	34.1	1.026
whole-brain volume	EFO_0005089	34662886	Rare	Continuous	Neurological	Initial	Volume of non wm hypointensities whole brain (26529)	0.72786325	UKB	454787.0	34662886	4	8501,158763,191,10507	0.90908	0.686	31536.5	12.5	0.01646755	13.954517481481485	53.5	1555.5	59.347	1.026
platelet count	EFO_0004309	34375979	Rare	Continuous	Hematological	Initial	Platelet count	1.0	UKB	261246.0	34375979	15	81027,2815,10019,4352,3674,2811,3717,5794,8328,2812,10788,7066,4065,100526664,578	0.84086	1.014	17469.0	19.0	0.00250919	2.9859953148148146	28.0	1897.0	43.0205	1.022
gastritis	EFO_0000217	34375979	Rare	Categorical	Gastrointestinal	Initial	Other gastritis	0.9224564	UKB	260313.0	34375979	23	11240,55631,2720,124045,1967,195977,389207,1620,55283,84947,80008,3211,55930,283,6605,8991,162427,84816,23224,166863,84614,63982,752	0.20387	0.938	47600.0	12.0	0.00809327	7.48156412962963	51.0	1399.0	46.785	1.1126
seborrheic dermatitis	EFO_1000764	34375979	Rare	Categorical	Dermatological	Initial	Seborrhoeic dermatitis	0.95810163	UKB	256208.0	34375979	8	1859,11023,649,4659,2331,9828,29906,79711	-0.103559	0.663	54149.0	16.0	0.0611048	23.98723103703704	53.0	1714.5	79.79599999999999	1.081
lymphocyte count	EFO_0004587	34375979	Rare	Continuous	Immunological	Initial	Lymphocyte count	1.0	UKB	260832.0	34375979	8	22904,22821,23218,11200,23253,1106,10235,8877	-0.8939649999999999	0.8334999999999999	60655.0	15.0	0.0391176	21.80667424074074	54.0	2343.0	102.544	1.0417
hypertrophic cardiomyopathy	EFO_0000538	34375979	Rare	Categorical	Cardiovascular	Initial	Hcardiom(hcm | hocm	0.19136205	UKB	281104.0	34375979	7	4607,10972,253714,85363,79605,158506,285025	-0.136425	0.746	111842.0	12.0	0.0290628	4.412902325925926	27.0	1471.0	83.3255	1.026
alopecia areata	EFO_0004192	34375979	Rare	Categorical	Immunological	Initial	Alopecia areata	1.0	UKB	237568.0	34375979	7	55501,55466,162466,5592,2896,56890,26285	-0.085627	1.024	18110.0	13.0	0.00555784	7.300814518518518	54.0	1245.0	37.485	1.025
chronic pain	HP_0012532	34375979	Rare	Categorical	Pain	Initial	Other chronic pain	0.90689915	UKB	231594.0	34375979	4	949,219749,10461,8382	0.94662	0.825	66443.0	25.0	0.0054183750000000004	16.114617888888887	53.0	1433.5	46.7495	1.0347499999999998
severe aplastic anemia	EFO_0006927	34375979	Rare	Categorical	Hematological	Initial	Other aplastic anaemias	0.8621849	UKB	217026.0	34375979	15	54790,26960,8435,55798,23498,6549,51428,5082,57169,23152,326,4682,10765,79066,309	0.78095	0.792	30199.0	16.0	0.0202501	10.365080555555558	54.0	1665.0	74.089	1.026
platelet aggregation	GO_0070527	29185836	Rare	Continuous	Hematological	Initial	Platelet aggregation	1.0	Mixed	4213.0	29185836	22	9619,10168,132851,7175,162963,219749,55353,22852,1284,10060,79441,10367,11309,10637,6017,28968,51802,55601,57111,10628,79659,57369	0.357615	0.858	50065.5	13.0	0.0032341	5.9923209222222225	52.0	1608.0	42.354	1.026
hearing loss	EFO_0004238	34375979	Rare	Categorical	EarNoseThroat	Initial	Other hearing loss	0.9195982	UKB	231201.0	34375979	22	23239,51735,115861,158046,56649,120776,112495,56929,340562,84070,51295,1757,81034,27158,117531,1280,81027,85440,7994,116211,81555,54831	0.048477	0.969	23555.0	10.0	0.002850665	2.774510513611111	25.0	1617.0	49.201	1.024
pneumonia	EFO_0003106	34375979	Rare	Categorical	Infection	Initial	Pneumonia	1.0	UKB	281104.0	34375979	5	5425,862,131583,472,26018	0.2365	0.847	122466.0	11.0	0.041746	17.77639425925926	54.0	1699.0	49.116	1.026
squamous cell carcinoma	EFO_0000707	34375979	Rare	Categorical	Neoplasm	Initial	Squamous cell carcinoma	1.0	UKB	281104.0	34375979	7	677,55083,29780,84937,675,7046,100131211	-0.58055	0.571	85182.0	15.0	0.0965654	11.593584074074071	54.0	1254.0	37.726	1.073
periodontitis	EFO_0000649	34375979	Rare	Categorical	Skeletal	Initial	Chronic periodontitis	0.8898818	UKB	230928.0	34375979	11	100526693,56942,284486,29895,652991,10550,6614,26140,79608,53358,5727	0.41206	1.053	45491.0	12.0	0.00311043	7.986933471296297	44.5	1051.0	42.338	1.026
reticulocyte count	EFO_0007986	34375979	Rare	Continuous	Hematological	Initial	Reticulocyte count	1.0	UKB	256371.0	34375979	16	6521,6005,7866,6708,759,2766,8877,388588,3043,5313,2035,10767,10788,6710,9780,10107	0.17014	1.0375	41535.0	18.0	0.004945515	6.503313284259258	40.0	1336.5	43.896	1.02525
dilated cardiomyopathy	EFO_0000407	34375979	Rare	Categorical	Cardiovascular	Initial	Dilated cardiomyopathy	1.0	UKB	169768.0	34375979	18	7273,1832,55628,51780,2318,79913,80219,873,29970,646,90441,57576,652,164091,10699,4928,147179,1797	0.59997	0.708	37129.5	14.5	0.0452114	15.614134537037033	54.0	2312.5	63.846999999999994	1.044875
multiple myeloma	EFO_0001378	34375979	Rare	Categorical	Neoplasm	Initial	Multiple myeloma	1.0	UKB	203199.0	34375979	14	54790,84061,57128,25913,114805,284697,7411,7006,126068,390265,353091,389158,5270,5802	0.27723	0.871	88972.0	13.5	0.0140219	4.785905555555553	53.0	1440.5	37.429	1.026
sarcoidosis	MONDO_0019338	34375979	Rare	Categorical	Immunological	Initial	Sarcoidosis	0.99999994	UKB	269170.0	34375979	24	200232,55529,8660,6169,10671,57501,5727,392309,7226,1879,55006,91607,116534,10017,23022,55317,7142,2020,8995,22861,79837,221044,27,342371	-0.019839000000000002	0.94	21942.0	17.0	0.007372719999999999	6.3800834907407395	52.0	1109.0	35.589	0.9625
tuberculosis	MONDO_0018076	34375979	Rare	Categorical	Infection	Initial	Tuberculosis	1.0000001	UKB	190670.0	34375979	10	56905,53349,151,8313,51368,79828,597,201164,5685,80183	0.55483	0.827	24805.5	14.0	0.0118492	10.810279796296298	53.0	1288.5	26.445	1.024
dysphagia	HP_0002015	34375979	Rare	Categorical	Muscular	Initial	Dysphagia	1.0	UKB	263387.0	34375979	28	57795,80821,7260,55179,10631,23020,51194,202500,11046,150353,148213,259289,51296,285175,26063,4335,84552,3083,1965,146198,8572,10844,8972,23234,401067,6335,4739,55615	-0.035819500000000004	0.8485	43085.0	11.5	0.008416895	8.844981759259257	52.5	1194.5	44.3725	1.026
mean corpuscular hemoglobin	EFO_0004527	34375979	Rare	Continuous	Hematological	Initial	Mean corpuscular haemoglobin	0.94663805	UKB	261245.0	34375979	26	3043,10661,7037,2766,164656,7036,7015,4041,8786,11200,5426,51327,63922,3040,2057,896,9440,23253,1874,5073,4065,212,56997,79733,100526664,51750	-0.089831	0.892	40182.0	22.0	0.01003903	13.391132037037032	54.0	1888.5	66.709	1.026
ankylosing spondylitis	EFO_0003898	34375979	Rare	Categorical	Skeletal	Initial	Ankylosing spondylitis	0.9999999	UKB	202162.0	34375979	5	145942,161,4855,3745,255762	-0.26187	0.866	45785.0	22.0	0.00193529	3.4060460462962965	31.0	2577.0	54.872	1.026
diverticular disease	EFO_0009959	34375979	Rare	Categorical	Gastrointestinal	Initial	Diverticular disease|diverticulitis	0.9147973	UKB	281104.0	34375979	14	25914,56606,8683,25938,170679,3925,1945,80776,4686,91748,85015,4194,4306,7535	0.30035	0.7050000000000001	40910.5	13.5	0.031403685	7.101597536111113	53.5	1432.0	53.823499999999996	1.068
panic disorder	EFO_0004262	34375979	Rare	Categorical	Psychiatric	Initial	Panic attacks	0.86180407	UKB	281104.0	34375979	10	146167,10782,9669,29896,79948,22976,90527,9245,29766,5395	0.146755	0.9395	35666.5	12.0	0.0201055	8.92754935185185	53.5	1585.5	39.807	1.026
Umbilical hernia	HP_0001537	34375979	Rare	Categorical	Muscular	Initial	Umbilical hernia	0.99999994	UKB	170125.0	34375979	25	653784,7579,9480,9958,654346,259289,6184,157697,126074,54825,199746,144165,57216,122011,339324,58499,23161,4113,79065,23589,2181,1087,254786,7351,54751	0.235735	0.923	28114.0	9.0	0.00676878	5.255528888888887	47.0	1185.0	33.2605	0.857
kidney cancer	MONDO_0002367	34244158	Rare	Categorical	Neoplasm	Initial	Kidney cancer	0.9999998	MyCode	7595.0	34244158	19	80781,11064,7267,114294,9790,57508,2862,27151,8785,55231,266629,118980,25953,4063,83854,84964,375790,221806,200373	0.46402	1.0885	35999.0	8.0	0.00228046	5.233438129629629	41.0	1696.0	69.274	1.023
osteoarthritis	MONDO_0005178	34375979	Rare	Categorical	Skeletal	Initial	Osteoarthritis	0.9999999	UKB	281104.0	34375979	13	23125,283927,64319,54790,55244,90362,65217,253012,4734,222962,165140,1280,9388	0.32968	0.883	37935.0	16.0	0.00850017	4.785905555555553	44.0	1579.0	61.781	1.026
chickenpox	EFO_0007204	34375979	Rare	Categorical	Infection	Initial	Varicella [chickenpox])	0.72057277	UKB	281104.0	34375979	10	9499,2566,390157,23025,439,23457,57465,132949,26122,7100	0.134479	0.796	41920.5	15.5	0.006343025	6.374894287037037	44.0	1531.5	49.374	1.06575
goiter	EFO_0004283	34375979	Rare	Categorical	Endocrine	Initial	Thwith tomultinodular goitre	0.362832	UKB	281104.0	34375979	7	84910,345895,6532,440533,167127,23281,79632	0.067507	0.816	41683.0	6.0	0.00198705	1.2481614944444444	21.0	1788.0	61.009	1.0800714285714286
emphysema	EFO_0000464	34375979	Rare	Categorical	Respiratory	Initial	Emphysema	0.99999976	UKB	236464.0	34375979	15	4151,6415,135941,83942,31,494119,8939,51098,220032,84866,29954,84867,84243,57121,1234	0.19783	1.0825	30916.0	10.0	0.00330693	12.409122979629627	46.0	1119.0	32.283500000000004	1.026
atrial fibrillation	EFO_0000275	34375979	Rare	Categorical	Cardiovascular	Initial	Atrial fibrillation	0.9999999	UKB	281104.0	34375979	9	7273,54806,440689,10919,55723,55705,79839,57584,10485	0.6593549999999999	0.7	55142.0	13.0	0.00924448	10.398814351851854	43.0	2877.5	102.995	1.0398749999999999
otosclerosis	EFO_0004213	34375979	Rare	Categorical	Skeletal	Initial	Otosclerosis	1.0000001	UKB	223062.0	34375979	13	23383,64965,256815,26747,9381,284273,222,9942,23765,283849,84229,414328,9079	0.12613	1.055	37925.0	11.0	0.00224863	9.616215370370368	51.0	1191.0	36.61	1.022
rheumatic fever	EFO_1001160	34375979	Rare	Categorical	Infection	Initial	Rheumatic fever	0.9999999	UKB	281104.0	34375979	4	1378,79849,79004,55195	0.50238	0.733	16953.0	12.5	0.0033365599999999997	2.7434855296296297	8.5	1205.5	44.248	0.654625
monocyte count	EFO_0005091	34375979	Rare	Continuous	Immunological	Initial	Monocyte count	0.9999999	UKB	260832.0	34375979	6	23765,4353,171023,729230,7852,80737	0.489305	0.948	11409.0	29.5	0.00642538	7.055262314814817	43.5	2282.5	63.5095	1.0245
coronary artery disease	EFO_0001645	20549515	Rare	Categorical	Cardiovascular	Initial	Coronary artery disease	0.9999999	WTCCC	4174.0	20549515	4	7458,1030,148738,84722	0.25128	1.214	12840.0	20.0	0.00427051	10.264673425925924	46.0	577.5	28.417	1.008
psoriatic arthritis	EFO_0003778	34375979	Rare	Categorical	Dermatological	Initial	Psoriatic arthropathy	0.84189296	UKB	281104.0	34375979	5	11253,10739,7857,114801,8312	-0.41632	0.764	22332.0	20.0	0.00920469	22.471894629629624	32.0	1854.0	51.264	0.947
Bell's palsy	EFO_0007167	34375979	Rare	Categorical	Muscular	Initial	Bell's palsy	1.0000002	UKB	244298.0	34375979	16	91612,121536,253980,124565,100132476,65083,84612,5972,285527,345895,11178,5002,7059,54102,3842,342346	0.38676999999999995	0.8785000000000001	35505.0	11.0	0.0063681250000000005	10.192173046296299	51.0	1760.0	46.201499999999996	1.026
aortic stenosis	EFO_0000266	34375979	Rare	Categorical	Cardiovascular	Initial	Aortic (valve stenosis	0.9089318	UKB	281104.0	34375979	19	3949,374860,23172,317749,4774,23355,79365,6556,375775,10572,9244,7278,2195,219958,30812,9510,238,269,79822	-0.44304	0.924	35521.0	18.0	0.0104336	12.944356296296297	52.0	1532.0	60.24	0.99925
total lipids in large LDL	EFO_0022163	36809768	Rare	Continuous	Metabolic	Initial	Total Lipids in Large LDL	0.9999999	UKB	97703.0	36809768	34	348,587,338,23624,255738,5817,3949,53345,1463,78992,728780,10087,343263,64241,11183,64240,23460,134359,256006,125931,94039,3837,284612,2524,84226,169436,26762,1952,11321,6580,353355,27329,7772,85302	-0.03242215	1.112	28920.5	12.0	0.0019745500000000003	7.597901528703702	24.5	1607.0	44.9435	0.9941249999999999
peripheral vascular disease	EFO_0003875	34375979	Rare	Categorical	Cardiovascular	Initial	Peripheral vascular disease| unspecified	0.95106065	UKB	176949.0	34375979	18	9227,439,1442,201595,203427,80097,390201,23094,26338,196441,11017,5774,83548,55720,140731,56882,6523,6752	0.082454	0.9595	16807.5	13.5	0.015802	9.098156388888887	54.0	1042.5	26.9525	1.026
angina pectoris	EFO_0003913	34375979	Rare	Categorical	Cardiovascular	Initial	Angina pectoris	0.99999976	UKB	190963.0	34375979	25	3949,79012,388335,4846,171023,10019,7517,57830,9534,321,84513,324,644139,728568,56244,1482,93273,10277,55958,80024,4902,4033,9373,57507,23347	-0.097735	1.0	43870.0	12.0	0.00851996	10.965893333333335	53.0	1449.0	46.402	1.026
rhegmatogenous retinal detachment	EFO_0005240	34375979	Rare	Categorical	Opthamological	Initial	Retinal detachment with retinal break	0.7567514	UKB	201609.0	34375979	9	8859,6949,283298,376940,84542,51237,6499,50489,8291	0.35554	0.987	25989.0	9.0	0.00288737	12.645053103703708	52.0	2056.0	38.901	1.0282857142857142
Myopia	HP_0000545	34375979	Rare	Categorical	Opthamological	Initial	Myopia	0.99999976	UKB	258110.0	34375979	3	57089,57502,388566	0.5393435	1.091	51732.0	17.0	0.00320965	2.774357981481481	41.0	1815.0	45.762	1.006
tinnitus	HP_0000360	34375979	Rare	Categorical	EarNoseThroat	Initial	Tinnitus	0.99999976	UKB	238658.0	34375979	8	977,257236,5118,92092,2986,51804,125228,9909	-0.14812	0.816	12574.0	8.5	0.0031743250000000004	5.380338277777778	50.0	1509.0	35.601	1.026
sick sinus syndrome	MONDO_0001823	34375979	Rare	Categorical	EarNoseThroat	Initial	Sick sinus syndrome	0.99999976	UKB	211311.0	34375979	5	100507679,10580,54499,51367,4201	0.0294	1.203	24928.0	11.0	0.00623309	26.12530037037037	54.0	533.0	23.166	1.026
total lipids in large VLDL	EFO_0022175	36809768	Rare	Continuous	Metabolic	Initial	Total Lipids in Large VLDL	0.9999999	UKB	98772.0	36809768	38	345,4023,11183,116519,8882,338,84811,51085,9031,4018,84226,11321,51129,5049,1463,337,6580,8890,27329,146894,57159,23173,8884,94039,26762,5140,84277,221037,113201,350,255738,94137,80212,196385,5340,83650,3626,256006	0.0769305	1.0025	34756.5	16.0	0.00506119	9.54265898240741	22.0	1381.5	40.4255	1.0178333333333334
asthma	MONDO_0004979	34375979	Rare	Categorical	Respiratory	Initial	Asthma	0.99999976	UKB	253803.0	34375979	56	2312,90865,7579,27315,56927,51705,420,85458,8202,4809,25983,200909,84517,374928,10626,3783,763,57582,7430,54462,7525,27111,400713,10131,50848,55036,57118,8894,79626,90139,50617,197335,4293,222235,56341,10742,221481,390245,375387,10777,55114,3127,23550,57829,51009,10985,163486,22882,51248,10236,10716,91039,22983,7840,8879,5971	0.22801500000000002	0.825	41599.0	13.5	0.0148346	13.240303075000003	51.0	1501.5	45.915	1.026
dental caries	EFO_0003819	34375979	Rare	Categorical	Skeletal	Initial	Dental caries	0.9999997	UKB	251474.0	34375979	13	826,8785,1183,284439,5054,10181,4112,773,5137,84701,4435,23072,255275	-0.11362308	0.8554999999999999	15084.0	11.0	0.0248783	7.77288240740741	38.0	1209.0	43.617000000000004	1.026
uterine prolapse	EFO_1001864	34375979	Rare	Categorical	Reproductive	Initial	Vaginal prolapse|uterine prolapse	0.9410976	UKB	281104.0	34375979	6	5746,140862,57453,7466,161003,84839	-0.5260549999999999	1.3054999999999999	56396.5	9.0	0.001941845	1.621468844074074	20.0	1440.5	47.8035	0.9651944444444445
gout	EFO_0004274	34375979	Rare	Categorical	Skeletal	Initial	Gout	0.99999964	UKB	145512.0	34375979	43	116085,9429,79068,55867,2220,1632,7837,7385,55799,57835,440590,8550,10321,4218,8503,30,6506,8927,23639,57125,342132,54981,2323,27154,9943,55101,29842,399473,3200,50862,53632,84947,10561,26133,56133,122748,5207,1080,196,5757,4824,9247,441024	0.35658	1.0150000000000001	36046.0	16.0	0.00712883	7.144505301851854	49.0	1332.0	35.867999999999995	1.026
systemic lupus erythematosus	MONDO_0007915	34375979	Rare	Categorical	Infection	Initial	Systemic lupus erythematosus	0.99999964	UKB	174675.0	34375979	5	9623,25948,5799,1553,10206	-0.4088	0.817	24593.0	13.0	0.0176205	9.692528703703704	52.0	1485.0	42.263	0.991
celiac disease	EFO_0001060	34375979	Rare	Categorical	Immunological	Initial	Coeliac disease	0.7786662	UKB	223597.0	34375979	24	80737,3127,85366,944,114821,9515,6136,55586,51684,2623,10092,54497,28964,26499,1952,25831,55644,1956,64127,120065,146183,1351,2178,1084	0.08211	0.812	17980.0	12.5	0.01773305	6.518162912037038	41.5	1442.0	58.616	1.0225
diffuse large b-cell lymphoma	EFO_0000403	34375979	Rare	Categorical	Neoplasm	Initial	Large cell (diffuse	0.52344495	UKB	281104.0	34375979	6	55773,84904,2670,493869,80223,64167	0.082175	1.032	28935.0	9.5	0.007738295	9.530711025925926	40.5	1658.5	45.66	1.026
urinary albumin to creatinine ratio	EFO_0007778	34662886	Rare	Continuous	Renal	Initial	Urinary albumincreatinine ratio (rgc)	0.7420406	UKB	126384.8947368421	34662886	4	1286,8029,1285,4868	0.524635	0.7324999999999999	155953.5	22.5	0.009607055	3.0544298138888895	29.0	4339.5	179.35000000000002	0.721
eosinophil count	EFO_0004842	34226706	Rare	Continuous	Immunological	Initial	Blood EOSINOPHIL COUNT	0.91271806	UKB	440275.0	34226706	28	90865,246,10019,1053,1232,345,1439,3568,5589,283849,58531,1154,23529,442194,85480,3567,23199,3120,221927,89882,22807,10538,54620,8288,101,1388,7837,113	-0.48787	1.0915	14920.5	18.0	0.005651359999999999	5.524776468518519	37.5	1160.5	33.8865	0.9576666666666667
