trait_pair	EFO	Common Study	Rare Study	g_C	g_R	nShared	Log2SizeOE	J_RC	jaccard_zero	N_C	N_R	binary	Mean_Constraint	DiffRC_Constraint	Mean_GO	DiffRC_GO	Mean_GeneSize	DiffRC_GeneSize	Mean_mRNA	DiffRC_mRNA	Mean_nTissues	DiffRC_nTissues	density_R	density_C	assortativity_RC
36809768_EFO_0004468_GCST90018955_EFO_0004468	EFO_0004468	GCST90018955	36809768	67	49	13	1.3951894596532963	0.1262135922330097	0	448252.0	359757.0	0	0.023403770258620688	-0.9896951091163604	15.577586206896552	-0.06451612903225806	61979.14655172414	-0.5674507921267403	13.548566082535121	-0.10474656935828695	53.577586206896555	-0.018691588785046728	0.0773809523809523	0.0850293984622342	0.0084915142007207
37262146_EFO_0004468_GCST90018955_EFO_0004468	EFO_0004468	GCST90018955	37262146	67	9	1	0.8083752208514439	0.013333333333333334	0	448252.0	368499.0	0	0.029329460657894733	-1.3941778649385639	15.644736842105264	-0.20689655172413793	72304.18421052632	-0.5521248451157028	13.802020181993178	-0.226814950524634	54.0	0.0	0.0277777777777777	0.0850293984622342	0.007892492841999
34226706_EFO_0004468_GCST90092819_EFO_0004468	EFO_0004468	GCST90092819	34226706	12	5	1	1.8199766060858973	0.0625	0	114870.0	400458.0	0	0.019983135294117646	-1.844549317995864	17.11764705882353	-0.7796610169491526	78714.88235294117	-1.7012170541970788	9.673426442701524	-1.9350031302709298	38.0	-1.8545454545454545	0.2	0.1969696969696969	0.0030690099356044
34375979_EFO_0004468_GCST90092819_EFO_0004468	EFO_0004468	GCST90092819	34375979	12	3	0	-0.6208807039181503	0.0	1	114870.0	234928.0	0	0.0244682	-0.8686804156641714	17.8	-0.9818181818181818	89971.8	-1.4192715142583217	13.151548348148147	-0.18406027685050494	53.2	0.018691588785046728	0.0	0.1969696969696969	0.0017718513750897
36809768_EFO_0004468_GCST90092819_EFO_0004468	EFO_0004468	GCST90092819	36809768	12	49	4	1.6112200412924431	0.07017543859649122	0	114870.0	359757.0	0	0.014296318032786885	-0.8686804156641714	16.081967213114755	-0.30985915492957744	55380.098360655735	-0.8691408587423374	12.907588185488764	-0.06641402639127732	53.0	0.0	0.0773809523809523	0.1969696969696969	0.0047258154794698
37262146_EFO_0004468_GCST90092819_EFO_0004468	EFO_0004468	GCST90092819	37262146	12	9	1	0.8942980859530821	0.05	0	114870.0	368499.0	0	0.018394145714285715	-1.310437657589848	17.285714285714285	-0.44776119402985076	80177.28571428571	-0.8556038618572118	12.603940360582008	-0.1888267736105234	53.42857142857143	0.018691588785046728	0.0277777777777777	0.1969696969696969	0.002325263021965
34226706_EFO_0004468_GCST90271558_EFO_0004468	EFO_0004468	GCST90271558	34226706	63	5	0	1.561634608910023	0.0	1	475416.0	400458.0	0	0.027489347058823527	-1.8533643356324534	15.485294117647058	-0.56	80563.2794117647	-1.6332087391418795	11.225782538779958	-1.9270314008669207	48.3235294117647	-1.8518518518518519	0.2	0.075268817204301	0.0102876770478714
34375979_EFO_0004468_GCST90271558_EFO_0004468	EFO_0004468	GCST90271558	34375979	63	3	1	0.0446068563624242	0.015384615384615385	0	475416.0	234928.0	0	0.028736140909090907	-0.9172482994790574	15.590909090909092	-0.782608695652174	83177.68181818182	-1.2992379695761505	12.063305883838385	-0.0668396738085322	52.09090909090909	0.03773584905660377	0.0	0.075268817204301	0.0080051856521938
36809768_EFO_0004468_GCST90271558_EFO_0004468	EFO_0004468	GCST90271558	36809768	63	49	13	1.4490482738605186	0.13131313131313133	0	475416.0	359757.0	0	0.02144319375	-0.9172482994790574	15.5625	-0.06451612903225806	67128.0	-0.6793179488772246	12.377391450231482	0.051268306347846695	52.4375	0.01904761904761905	0.0773809523809523	0.075268817204301	0.0112387010873312
37262146_EFO_0004468_GCST90271558_EFO_0004468	EFO_0004468	GCST90271558	37262146	63	9	2	1.033927232851858	0.02857142857142857	0	475416.0	368499.0	0	0.026608879999999998	-1.3443750911510297	15.625	-0.20689655172413793	80887.125	-0.6645662967853531	11.994273759490742	-0.07164219292566346	52.25	0.03773584905660377	0.0277777777777777	0.075268817204301	0.009254415092488
